bootstrap_iteration,logistic_regression_selected_success_rate,random_forest_selected_success_rate,random_forest_minus_logistic_regression
1,0.4109772423025435,0.4250334672021419,0.014056224899598402
2,0.4029451137884873,0.43373493975903615,0.030789825970548856
3,0.39558232931726905,0.41566265060240964,0.02008032128514059
4,0.41767068273092367,0.4183400267737617,0.0006693440428380271
5,0.41967871485943775,0.42369477911646586,0.004016064257028107
6,0.4062918340026774,0.41767068273092367,0.011378848728246294
7,0.3855421686746988,0.4002677376171352,0.014725568942436373
8,0.42302543507362783,0.4223560910307898,-0.0006693440428380271
9,0.39022757697456495,0.40562248995983935,0.0153949129852744
10,0.4364123159303882,0.42971887550200805,-0.00669344042838016
11,0.4183400267737617,0.42971887550200805,0.011378848728246349
12,0.4062918340026774,0.40963855421686746,0.00334672021419008
13,0.40829986613119146,0.42168674698795183,0.013386880856760375
14,0.41164658634538154,0.4263721552878179,0.014725568942436373
15,0.40562248995983935,0.41767068273092367,0.01204819277108432
16,0.41298527443105754,0.4210174029451138,0.00803212851405627
17,0.38755020080321284,0.40227576974564927,0.014725568942436429
18,0.41298527443105754,0.43105756358768405,0.01807228915662651
19,0.41164658634538154,0.4223560910307898,0.010709504685408266
20,0.4049531459170013,0.4243641231593039,0.019410977242302563
21,0.41298527443105754,0.4029451137884873,-0.01004016064257024
22,0.4049531459170013,0.42570281124497994,0.020749665327978617
23,0.4223560910307898,0.42704149933065594,0.004685408299866134
24,0.4384203480589023,0.4404283801874163,0.0020080321285140257
25,0.4009370816599732,0.41365461847389556,0.012717536813922348
26,0.4149933065595716,0.4263721552878179,0.011378848728246294
27,0.4042838018741633,0.4109772423025435,0.006693440428380215
28,0.3868808567603748,0.4042838018741633,0.01740294511378848
29,0.4069611780455154,0.4350736278447122,0.028112449799196804
30,0.40896921017402943,0.4149933065595716,0.006024096385542188
31,0.3949129852744311,0.41231593038821956,0.01740294511378848
32,0.4250334672021419,0.43373493975903615,0.00870147255689424
33,0.3908969210174029,0.4042838018741633,0.013386880856760375
34,0.42771084337349397,0.44109772423025434,0.013386880856760375
35,0.41365461847389556,0.4384203480589023,0.024765729585006724
36,0.41164658634538154,0.4190093708165997,0.007362784471218187
37,0.4002677376171352,0.39959839357429716,-0.0006693440428380271
38,0.42771084337349397,0.42771084337349397,0.0
39,0.4029451137884873,0.4190093708165997,0.016064257028112428
40,0.4170013386880857,0.4210174029451138,0.004016064257028107
41,0.3815261044176707,0.4109772423025435,0.029451137884872802
42,0.41767068273092367,0.42369477911646586,0.006024096385542188
