model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,test_transactions,test_candidate_rows,top_choice_observed_success_rate,top_choice_mean_predicted_probability,train_cv_roc_auc,parameters,majority_class_baseline_accuracy,selection_score
Random Forest,0.7147925033467202,0.7047222759102301,0.39761029411764703,0.6873212583412774,0.5037847909630837,0.7458111430760214,0.41908812391081024,1494,14940,0.41566265060240964,0.6352021955236676,0.7457059807388191,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 120}",0.7893574297188755,0.6137517460865767
HistGradientBoosting,0.7900937081659973,0.5469432715938758,0.5069885641677255,0.12678741658722592,0.20284697508896798,0.749826669243691,0.42001147291117524,1494,14940,0.39825970548862116,0.4073968990098927,0.7502425014398629,"{""l2_regularization"": 0.5, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 30}",0.7893574297188755,0.6091998837416631
Logistic Regression,0.7888888888888889,0.5506064777888872,0.4960272417707151,0.13886240864315222,0.2169811320754717,0.7494074716623648,0.4186170299552887,1494,14940,0.39825970548862116,0.41068835824001143,,"{""max_iter"": 1000, ""solver"": ""lbfgs""}",0.7893574297188755,0.6089483651928673
