amount_band,eligible_transactions,baseline_recovered_transactions,smart_retry_recovered_transactions,baseline_recovered_inr,smart_retry_recovered_inr,incremental_inr,baseline_recovery_rate,smart_retry_recovery_rate
1k_to_5k,2252,859,1152,1524158.99,2026988.26,502829.27,0.3814387211367673,0.5115452930728241
20k_plus,346,120,179,5626225.15,8276988.17,2650763.02,0.3468208092485549,0.5173410404624278
5k_to_20k,1943,742,1040,9060236.45,12770041.07,3709804.62,0.38188368502316006,0.5352547606793618
under_1k,2930,1198,1568,724374.94,950833.55,226458.61000000002,0.4088737201365188,0.5351535836177475
