payment_method,eligible_transactions,baseline_recovered_transactions,smart_retry_recovered_transactions,baseline_recovered_inr,smart_retry_recovered_inr,incremental_inr,baseline_recovery_rate,smart_retry_recovery_rate
Credit Card,1547,628,820,3328423.16,4508835.16,1180412.0,0.4059469941822883,0.5300581771170007
Debit Card,1863,697,965,4205652.8,6252930.43,2047277.63,0.37412775093934514,0.5179817498658078
Net Banking,779,299,419,1652520.99,2614897.24,962376.25,0.38382541720154045,0.5378690629011553
UPI,3282,1295,1735,7748398.58,10648188.22,2899789.64,0.39457647775746496,0.5286410725167581
