candidate_retry_hours,rows,observed_success_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
0.25,1494.0,0.27710843373493976,0.7275769745649264,0.7497584541062802,0.5053435114503817,0.7995169082125604,0.6192703461178671,0.7550254965110038,0.48139347417555234
0.5,1494.0,0.2637215528781794,0.7289156626506024,0.7572658052607291,0.4916030534351145,0.817258883248731,0.6139180171591992,0.7737655745269958,0.4868738709537928
1.0,1494.0,0.2617135207496653,0.7161981258366801,0.7417598597640009,0.47480916030534354,0.7953964194373402,0.5946462715105163,0.7558112842677375,0.4602912247511438
2.0,1494.0,0.22958500669344042,0.6840696117804551,0.71309521698713,0.4015267175572519,0.7667638483965015,0.5270541082164328,0.7227762397002986,0.39157833382248447
4.0,1494.0,0.2001338688085676,0.6452476572958501,0.6691594016316592,0.3236641221374046,0.7090301003344481,0.4444444444444444,0.6800072766963798,0.32354577914663807
6.0,1494.0,0.18741633199464525,0.6251673360107095,0.6086167333490233,0.26897689768976896,0.5821428571428572,0.36794582392776526,0.6363644386914568,0.2374371297568913
12.0,1494.0,0.18072289156626506,0.7001338688085676,0.6206971677559913,0.3004484304932735,0.4962962962962963,0.3743016759776536,0.6437575647542968,0.26875491553902076
24.0,1494.0,0.20414993306559573,0.7563587684069611,0.7311420259482414,0.4384133611691023,0.6885245901639344,0.5357142857142857,0.7567152449365081,0.4392383053232536
48.0,1494.0,0.1713520749665328,0.7269076305220884,0.7422632269789984,0.3602941176470588,0.765625,0.49,0.7664990155492729,0.3507487321725665
72.0,1494.0,0.13052208835341367,0.8373493975903614,0.5272872623911885,0.23333333333333334,0.1076923076923077,0.14736842105263157,0.665952113065277,0.22607912482749037
