candidate_retry_hours,rows,observed_success_rate,accuracy,precision,recall,f1,roc_auc
0.25,1494.0,0.27710843373493976,0.7289156626506024,0.5138461538461538,0.4033816425120773,0.4519621109607578,0.7564971372338523
0.5,1494.0,0.2637215528781794,0.7429718875502008,0.5128205128205128,0.5076142131979695,0.5102040816326531,0.7718043377941856
1.0,1494.0,0.2617135207496653,0.7523427041499331,0.5826771653543307,0.18925831202046037,0.2857142857142857,0.7683740925121675
2.0,1494.0,0.22958500669344042,0.7657295850066934,0.18181818181818182,0.0058309037900874635,0.011299435028248588,0.7205573553735755
4.0,1494.0,0.2001338688085676,0.7998661311914324,0.0,0.0,0.0,0.6777403059011209
6.0,1494.0,0.18741633199464525,0.8125836680053548,0.0,0.0,0.0,0.6545540127088728
12.0,1494.0,0.18072289156626506,0.8192771084337349,0.0,0.0,0.0,0.6527656741709029
24.0,1494.0,0.20414993306559573,0.7958500669344043,0.0,0.0,0.0,0.7498242082477353
48.0,1494.0,0.1713520749665328,0.8286479250334672,0.0,0.0,0.0,0.7738760854200323
72.0,1494.0,0.13052208835341367,0.8694779116465864,0.0,0.0,0.0,0.6686524150727384
